query,hf_latency_ms,openai_latency_ms,hf_avg_similarity,openai_avg_similarity
moisturizer for dry skin,26.533842086791992,616.1153316497803,0.6096164,0.5520996
face serum with vitamin C,17.60697364807129,356.3072681427002,0.7816312,0.64347315
sunscreen for sensitive skin,54.04019355773926,216.46666526794434,0.62838787,0.51882404
anti-aging cream for wrinkles,23.910045623779297,390.1400566101074,0.7029226,0.5833646
gentle cleanser for oily skin,23.110151290893555,301.9745349884033,0.60044956,0.57391655
shampoo for curly hair,15.556097030639648,188.43913078308105,0.56160164,0.51558834
hair mask for damaged bleached hair,16.048431396484375,228.48010063171387,0.56521636,0.5039708
volumizing shampoo for fine hair,14.395713806152344,2913.984537124634,0.5967194,0.60015506
natural conditioner for frizzy hair,21.573305130004883,175.4779815673828,0.6582787,0.52040595
scalp treatment for dandruff,16.73722267150879,256.8843364715576,0.6063937,0.4898398
long lasting foundation for oily skin,28.197050094604492,190.91463088989258,0.5594558,0.55821025
waterproof mascara,15.492916107177734,177.37126350402832,0.7047101,0.603027
red lipstick matte finish,12.139320373535156,215.06452560424805,0.64842856,0.6267233
eyebrow pencil for sparse brows,21.43406867980957,484.3859672546387,0.6731417,0.63493526
setting powder for dry skin,26.12590789794922,199.26714897155762,0.532125,0.5421737
natural deodorant without aluminum,15.000104904174805,358.0813407897949,0.67194307,0.582318
body lotion with shea butter,15.707731246948242,159.13724899291992,0.6579174,0.61860037
perfume with floral scent,18.367290496826172,165.37976264953613,0.6609518,0.5318748
lip balm for chapped lips,14.266729354858398,176.6030788421631,0.6601573,0.54564303
face mask for acne prone skin,18.692731857299805,187.9739761352539,0.6209432,0.53252035
